FIPS,Dems,Repub
17059,1587,1211
17061,2617,3048
17063,9134,9144
17065,1794,2353
17067,3753,4778
17069,892,1330
17071,2213,1540
17073,13177,11247
17075,4640,8686
17077,15199,9665
17079,2063,2963
17081,7460,9293
17083,5036,5320
17085,6392,5163
17087,1477,3138
17089,105592,84223
17091,24719,22508
17093,23529,20675
17095,14165,9396
17097,111051,85284
17099,27415,21855
17101,3013,3401
17103,7757,8243
17105,6184,9180
17107,5245,7424
17115,25419,24901
17117,12071,9879
17119,68836,57059
17121,8334,8687
17123,3078,3142
17125,3540,3139
17127,2693,4371
17109,6780,6047
17111,71976,64595
17113,37551,36657
17129,2704,3672
17131,4885,3830
17133,7943,9870
17135,6486,6141
17137,7458,7585
17139,2663,3466
17141,11247,13131
17143,44396,33018
17145,4697,5077
17147,3856,4988
17149,3021,4451
17151,842,1339
17153,1636,1592
17155,1900,1376
17157,7387,7536
17159,3177,4320
17161,42175,25338
17165,5082,6096
17167,51176,46857
17169,1896,1830
17171,1090,1453
17173,4236,6390
17163,77896,47005
17175,1357,1513
17177,11010,9686
17179,29335,33203
17181,3916,4999
17183,16228,16046
17185,2462,3252
17187,4286,3637
17189,3338,4468
17191,2545,5381
17193,3315,3985
17195,15587,10867
17197,154691,119049
17199,12893,17351
17201,69903,53806
17203,6969,12137
18001,4928,8402
18003,70844,77102
18005,13555,17061
18007,1563,2180
18009,2677,2690
18011,9744,16616
18013,3852,4060
18015,3733,4845
18017,6995,8339
18019,21918,25299
18021,4954,6264
18023,5306,6915
18025,2286,2393
18027,3369,7096
18029,7123,14886
18031,3890,6443
18033,7169,9771
18035,28356,20904
18037,8748,9526
18039,31289,39344
18041,4387,4917
18043,16248,19944
18045,3094,4151
18047,3404,7017
18049,3700,5145
18051,6455,8449
18053,11291,14726
18055,5709,7689
18057,49691,78391
18059,11869,21991
18061,7271,10529
18063,24394,39578
18065,10058,10894
18067,17803,20207
18069,5842,10289
18071,7445,9852
18073,5044,7669
18075,3746,4400
18077,6255,7052
18079,5302,6257
18081,21536,36471
18083,7569,8639
18085,9229,20484
18087,3659,5697
18089,138603,67417
18091,28247,17911
18093,7208,11018
18095,30152,26403
18097,237275,131459
18099,7880,10401
18101,1706,3112
18103,5559,8305
18105,41332,21083
18107,6005,9055
18109,10314,18105
18111,2623,3300
18113,7063,9671
18115,1158,1712
18117,3390,4536
18119,3570,4415
18121,2913,3900
18123,5140,3201
18125,2700,3221
18127,39046,33796
18129,5820,6794
18131,2466,3368
18133,6331,8085
18135,4839,5787
18137,4187,7794
18139,3228,4270
18143,4268,4443
18145,6983,10330
18147,5037,4998
18141,68708,48510
18149,4778,4473
18151,6283,7670
18153,4282,4341
18155,1638,1940
18157,37709,29789
18159,3250,4452
18161,1220,2058
18163,39368,37449
18165,4002,3004
18167,25023,18111
18169,5455,8238
18171,1753,2164
18173,12329,16013
18175,4561,6512
18177,13459,14558
18179,4403,8503
18181,4839,5730
18183,5861,9122
19001,1920,2059
19003,1113,1039
19005,3962,2961
19007,2964,3081
19009,1731,1631
19011,7035,6431
19013,38564,24467
19015,7333,6265
19017,6870,5704
19019,6037,4131
19021,4065,4217
19023,3348,3686
19025,2335,2747
19027,5284,4905
19029,3201,3990
19031,5201,4278
19033,14305,9344
19035,2883,3365
19037,3897,2536
19039,2214,2112
19041,3908,4345
19043,5174,3640
19045,14733,9068
19047,3697,3338
19049,15101,16904
19051,2262,2553
19053,1983,2019
19055,4630,4108
19057,12396,7687
19059,4609,5150
19061,23791,16694
19063,2565,2366
19065,5889,4199
19067,4797,3044
19069,2566,2495
19071,2490,2708
19073,2359,2340
19075,2774,3936
19077,2603,3025
19079,3999,3909
19081,2790,3008
19083,4368,4301
19085,3549,3906
19087,5306,5582
19089,2933,1721
19091,2151,2881
19093,1455,2025
19095,4173,4173
19097,6069,3662
19099,10195,8750
19101,5028,3321
19103,50708,20639
19105,5431,4398
19107,2508,2703
19109,4609,4310
19111,9470,6724
19113,67476,43384
19115,2520,2310
19117,2024,2329
19119,1673,4461
19121,3702,4525
19123,4450,6249
19125,7408,9232
19127,9918,8229
19129,2970,4177
19131,3175,2465
19133,2284,2407
19135,1793,1997
19137,2318,2878
19139,10850,7907
19141,2333,4883
19143,1037,2027
19145,2892,4344
19147,2420,2290
19149,4564,7744
19151,1794,2131
19153,119569,88983
